name,cultural_enrichment,approximate_cost,location,season,population_density,camping_available,network_availability,description,approximate_cost_category,population_density_category,network_availability_category,active_activity,adventure_activity,architecture_activity,beach_activity,beach_activity отдых,cave_activity,cultural_activity,ecotourism_activity,ethnic_activity,excursion_activity,extreme_activity,family_activity,fishing_activity,gastronomic_activity,hiking_activity,horse_riding_activity,industrial_activity,marine_activity,military_history_activity,mountaineering_activity,nature_activity,nature_observation_activity,rafting_activity,religious_activity,skiing_activity,water_activity,water_sports_activity,wellness_activity,wine_activity,cave_terrain,chalky_terrain,coast_terrain,desert_terrain,dune_terrain,forest_steppe_terrain,forest_terrain,glacier_terrain,hill_terrain,island_terrain,lake_terrain,marine_terrain,mountain_taiga_terrain,mountain_terrain,plain_terrain,plateau_terrain,quarry_terrain,river_coast_terrain,river_terrain,rocky_terrain,salt_terrain,steppe_terrain,taiga_terrain,tundra_terrain,valley_terrain,vineyard_terrain,volcanic_terrain,waterfall_terrain
Соловецкие острова,1,40000.0,Архангельская область,summer,15,0,70,"Соловецкие острова - это уникальный архипелаг в Белом море, известный своим Соловецким монастырем и другими историческими и культурными достопримечательностями. Здесь вы сможете познакомиться с историей русского Севера, полюбоваться живописными пейзажами и отдохнуть от городской суеты.",Cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Командорские острова,1,120000.0,Камчатский край,summer,0,1,30,"Командорские острова - это уникальный архипелаг, расположенный в Беринговом море. Здесь вы сможете увидеть множество морских млекопитающих, таких как котики и морские львы, а также познакомиться с культурой коренных народов Камчатки.",Expensive,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Астрахань,1,25000.0,Астраханская область,summer,300,0,70,"Астрахань - это город, расположенный на берегах Волги и Каспийского моря. Здесь вы сможете посетить исторические достопримечательности, познакомиться с культурой Поволжья, заняться рыбалкой и отдохнуть на живописных набережных.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Калининград,1,35000.0,Калининградская область,summer,550,0,85,"Калининград - это уникальный российский город, расположенный на побережье Балтийского моря. Здесь вы сможете познакомиться с немецкой и русской культурой, посетить исторические достопримечательности, отдохнуть на пляжах и насладиться живописными пейзажами.",Cheap,Medium,High network availability,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Архангельск,1,28000.0,Архангельская область,summer,280,0,75,"Архангельск - это город, расположенный на берегу Северной Двины и Белого моря. Здесь вы сможете познакомиться с историей освоения Русского Севера, посетить музеи, связанные с морской тематикой, и насладиться живописными видами на побережье.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ростов-на-Дону,1,30000.0,Ростовская область,summer,400,0,80,"Ростов-на-Дону - это крупный город, расположенный на берегах Дона. Здесь вы сможете познакомиться с богатой историей и культурой Юга России, посетить музеи и театры, попробовать традиционную кухню и насладиться прогулками по живописным набережным.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Волгоград,1,25000.0,Волгоградская область,summer,300,0,75,"Волгоград - это город, расположенный на берегах Волги. Здесь вы сможете посетить памятники, связанные с Великой Отечественной войной, музеи, познакомиться с культурой Поволжья и насладиться прогулками по набережным.",Cheap,Low,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Казань,1,25000.0,Республика Татарстан,summer,1700,0,80,"Казань - это столица Республики Татарстан, расположенная на берегах Волги и Казанки. Здесь вы сможете посетить Казанский Кремль, мечети, музеи и попробовать блюда национальной кухни. Казань предлагает увлекательное путешествие в мир многовековой истории и традиций.",Cheap,High,High network availability,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Великий Устюг,1,30000.0,Вологодская область,winter,25,0,70,"Великий Устюг - это город, известный как родина Деда Мороза, расположенный на берегах реки Сухоны. Здесь вы сможете погрузиться в атмосферу русских зимних сказок, посетить резиденцию Деда Мороза, познакомиться с народными ремеслами и традициями Русского Севера.",Cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Гороховец,1,18000.0,Владимирская область,summer,300,0,65,"Гороховец - это небольшой город, расположенный на берегу реки Клязьма, известный своей уникальной архитектурой в стиле русского деревянного зодчества и историческими памятниками. Здесь вы сможете познакомиться с традиционным русским зодчеством, посетить музеи и насладиться спокойной атмосферой провинциального города.",Very cheap,Low,Medium network availability,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Национальный парк ""Югыд ва""",1,60000.0,Республика Коми,summer,1,1,30,"Национальный парк ""Югыд ва"" - это уникальный природный объект, расположенный на севере Республики Коми. Здесь вы сможете насладиться нетронутыми горными ландшафтами, увидеть редких животных и птиц, а также познакомиться с культурой коренных народов Севера.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Национальный парк ""Бикин""",1,80000.0,Приморский край,summer,1,1,40,"Национальный парк ""Бикин"" - это уникальная природная территория, расположенная на Дальнем Востоке России. Здесь вы сможете насладиться нетронутыми лесными ландшафтами, понаблюдать за редкими видами животных, такими как амурский тигр, и познакомиться с культурой коренных народов Приморья.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Остров Врангеля,1,150000.0,Чукотский автономный округ,summer,0,1,10,"Остров Врангеля - это уникальный природный заповедник, расположенный в Восточно-Сибирском море. Здесь вы сможете увидеть белых медведей, моржей, редких птиц и другую арктическую фауну, а также познакомиться с культурой коренных народов Чукотки.",Expensive,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Плато Маньпупунёр,1,75000.0,Республика Коми,summer,1,1,30,"Плато Маньпупунёр - это уникальный природный памятник, расположенный на Северном Урале. Здесь вы сможете увидеть величественные каменные столбы, известные как ""Семь Святых"", а также насладиться нетронутой природой тундры и познакомиться с культурой коренных народов Севера.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Курильские острова,1,130000.0,Сахалинская область,summer,0,1,25,"Курильские острова - это уникальный архипелаг, расположенный между Охотским морем и Тихим океаном. Здесь вы сможете увидеть действующие вулканы, насладиться нетронутой природой, понаблюдать за морскими млекопитающими и познакомиться с культурой коренных народов Курил.",Expensive,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"Национальный парк ""Шушенский бор""",1,40000.0,Красноярский край,summer,5,1,60,"Национальный парк ""Шушенский бор"" - это живописный природный заповедник, расположенный в Красноярском крае. Здесь вы сможете насладиться нетронутыми лесными ландшафтами, понаблюдать за редкими видами птиц и животных, а также познакомиться с культурой местных жителей.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Национальный парк ""Кенозерский""",1,40000.0,Архангельская область,summer,2,1,45,"Национальный парк ""Кенозерский"" - это живописный регион, расположенный на севере России. Здесь вы сможете насладиться чистыми озерами, совершить увлекательные походы по лесным тропам, заняться каноэ и другими водными видами спорта, а также познакомиться с культурой и традициями Русского Севера.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Национальный парк ""Сайлюгемский""",1,75000.0,Республика Алтай,summer,1,1,35,"Национальный парк ""Сайлюгемский"" - это уникальная природная территория, расположенная на границе России и Монголии. Здесь вы сможете совершить захватывающие походы по нетронутым горным ландшафтам, понаблюдать за редкими видами животных и познакомиться с культурой коренных народов Алтая.",Average,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Национальный парк ""Онежское Поморье""",1,35000.0,Архангельская область,summer,5,1,40,"Национальный парк ""Онежское Поморье"" - это живописный регион на побережье Белого моря, расположенный в Архангельской области. Здесь вы сможете насладиться чистыми водами, совершить увлекательные походы по островам и лесным массивам, заняться каякингом, рыбалкой и познакомиться с культурой поморов.",Cheap,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Столбы,0,12000.0,Красноярский край,summer,15,1,70,"Покорите живописные скалы-останцы в национальном парке Столбы. Вас ждут захватывающие виды, пешие маршруты различной сложности и возможность познакомиться с уникальной флорой и фауной.",Very cheap,Very low,High network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Сихотэ-Алинский заповедник,0,22000.0,Приморский край,summer,3,1,30,"Откройте для себя мир амурского тигра, гималайского медведя и других редких животных. Совершите пешие прогулки по таежным тропам и насладитесь красотой горных пейзажей.",Cheap,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Оренбургский заповедник,0,11000.0,Оренбургская область,summer,5,1,65,"Познакомьтесь с дикими лошадьми Пржевальского, сурками и другими обитателями степей. Совершите прогулки по бескрайним просторам и насладитесь тишиной и спокойствием.",Very cheap,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Дальневосточный морской заповедник,0,25000.0,Приморский край,summer,5,1,60,"Исследуйте подводный мир Японского моря, где обитают морские звезды, кораллы и другие удивительные существа. Вас ждут дайвинг, снорклинг и прогулки на лодках.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ильменский заповедник,0,13000.0,Челябинская область,summer,20,1,75,"Исследуйте уникальные минералы и горные породы, а также познакомьтесь с разнообразной флорой и фауной. Вас ждут прогулки по экологическим тропам и посещение музея.",Very cheap,Very low,High network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Кузнецкий Алатау,0,15000.0,Кемеровская область,summer,7,1,60,"Исследуйте горные хребты Кузнецкого Алатау, где обитают маралы, соболи и другие таежные животные. Вас ждут пешие походы, рыбалка и возможность насладиться красотой дикой природы.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Прибайкальский национальный парк,0,18000.0,Иркутская область,summer,10,1,50,"Насладитесь красотой таежных лесов, горных вершин и берегов озера Байкал. Вас ждут пешие походы, водные прогулки и возможность увидеть редких животных и птиц.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Национальный парк ""Лосиный остров""",0,7000.0,Москва и Московская область,summer,60,0,95,"Посетите один из крупнейших городских лесов в мире, где обитают лоси, кабаны и другие дикие животные. Вас ждут пешие и велосипедные прогулки, а также возможность отдохнуть на природе, не покидая город.",Very cheap,Low,High network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Гора Эльбрус,0,25000.0,Кабардино-Балкария,summer,5,1,40,"Покорите высочайшую вершину России и Европы, насладитесь красотой горных пейзажей и ледников. Вас ждут восхождения, горные походы и возможность увидеть уникальную природу Кавказа.",Cheap,Very low,Low network availability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Уральские горы,0,12000.0,Свердловская область,summer,15,1,65,"Исследуйте горные хребты Урала, где вас ждут пещеры, скалы и живописные озера. Вас ждут пешие походы, сплавы по рекам и возможность познакомиться с историей региона.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Гора Белуха,0,28000.0,Республика Алтай,summer,1,1,20,"Покорите одну из высочайших вершин Алтая, насладитесь красотой горных ледников и озер. Вас ждут сложные восхождения, горные походы и возможность увидеть уникальную природу.",Cheap,Very low,Low network availability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Горы Кольского полуострова,0,18000.0,Мурманская область,summer,8,1,55,"Исследуйте горные массивы Кольского полуострова, где вас ждут озера, реки и возможность увидеть северное сияние. Вас ждут пешие походы, рыбалка и другие активные виды отдыха.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Горы Хамар-Дабан,0,17000.0,Бурятия,summer,5,1,45,"Покорите вершины хребта Хамар-Дабан, насладитесь красотой горных озер и водопадов. Вас ждут пешие маршруты различной сложности и возможность увидеть уникальную флору и фауну.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Сочи,1,18000.0,Южный федеральный округ,summer,70,1,90,"Насладитесь отдыхом на Черноморском побережье, где вас ждут пляжи, горы и возможность отдохнуть на курортах. Вас ждут прогулки по набережной, посещение парков и возможность заняться водными видами спорта.",Very cheap,Low,High network availability,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Петрозаводск,1,13000.0,Северо-Западный федеральный округ,summer,30,1,75,"Посетите столицу Карелии, расположенную на берегу Онежского озера. Вас ждут музеи, набережные и возможность познакомиться с культурой и историей региона.",Very cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ладожское озеро,0,14000.0,Ленинградская область,summer,15,1,70,"Исследуйте крупнейшее озеро Европы, где вас ждут живописные острова, скалистые берега и возможность увидеть редких птиц. Вас ждут пешие походы, катание на лодках и рыбалка.",Very cheap,Very low,High network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Белое море,0,20000.0,Архангельская область,summer,10,1,50,"Откройте для себя суровую красоту Белого моря, где вас ждут морские прогулки, рыбалка и возможность увидеть белух и других морских животных.",Cheap,Very low,Medium network availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Река Катунь,0,18000.0,Республика Алтай,summer,8,1,40,"Совершите захватывающий сплав по реке Катунь, где вас ждут пороги, водопады и живописные горные пейзажи. Вас ждут экстремальные приключения и возможность насладиться красотой Алтая.",Very cheap,Very low,Low network availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Красные скалы,0,12000.0,Красноярский край,summer,15,1,65,"Исследуйте живописные скалы-останцы, где вас ждут пешие прогулки, скалолазание и возможность насладиться красотой природы.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Чарские пески,0,17000.0,Забайкальский край,summer,2,1,30,"Посетите уникальную песчаную пустыню, окруженную горами и тайгой. Вас ждут прогулки по дюнам, возможность увидеть редкие растения и животных.",Very cheap,Very low,Low network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Озеро Эльтон,0,11000.0,Волгоградская область,summer,8,1,65,"Посетите крупнейшее соленое озеро Европы, где вас ждут необычные соляные образования, лечебные грязи и возможность увидеть редких птиц.",Very cheap,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Дивногорье,1,11000.0,Воронежская область,summer,25,1,80,"Посетите музей-заповедник Дивногорье, где вас ждут меловые столбы, пещерные церкви и возможность познакомиться с историей и культурой региона.",Very cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Самарская Лука,0,12000.0,Самарская область,summer,20,1,70,"Исследуйте живописный изгиб реки Волги, где вас ждут горы, леса, озера и возможность насладиться красотой природы.",Very cheap,Very low,High network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Кум-Торкалинский каньон,0,14000.0,Дагестан,summer,10,1,60,"Исследуйте глубокий каньон с отвесными скалами, где вас ждут пешие прогулки, возможность увидеть редкие виды птиц и насладиться красотой природы.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ординская пещера,0,18000.0,Пермский край,summer,5,1,35,"Посетите одну из самых длинных подводных пещер в мире, где вас ждут дайвинг, спелеология и возможность увидеть уникальные подземные ландшафты.",Very cheap,Very low,Low network availability,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Плато Бермамыт,0,15000.0,Карачаево-Черкесия,summer,8,1,50,"Полюбуйтесь панорамными видами на Эльбрус и Кавказские горы с плато Бермамыт. Вас ждут пешие прогулки, возможность увидеть редкие виды птиц и насладиться красотой природы.",Very cheap,Very low,Medium network availability,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Гора Ахун,1,12000.0,Краснодарский край,summer,30,1,80,"Посетите гору Ахун, где вас ждут смотровая башня, пещеры, живописные виды на побережье и возможность насладиться красотой природы.",Very cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Озеро Абрау,1,14000.0,Краснодарский край,summer,35,1,85,"Посетите живописное озеро Абрау, где вас ждут винодельни, прогулки по набережной и возможность насладиться красотой природы.",Very cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Река Чусовая,0,16000.0,"Свердловская область, Пермский край",summer,10,1,60,"Совершите сплав по реке Чусовой, где вас ждут живописные скалы, пещеры и возможность насладиться красотой природы.",Very cheap,Very low,Medium network availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Озеро Баскунчак,0,11000.0,Астраханская область,summer,10,1,60,"Посетите соленое озеро Баскунчак, где добывают соль и можно увидеть необычные соляные образования. Вас ждут прогулки по берегу, купание в соленой воде и возможность познакомиться с уникальной природой региона.",Very cheap,Very low,Medium network availability,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Соляные пещеры Соль-Илецка,0,9000.0,Оренбургская область,summer,30,0,75,"Посетите соляные пещеры, где вас ждут лечебный микроклимат, соляные озера и возможность улучшить свое здоровье. Вас ждут экскурсии, купание в соляных озерах и возможность отдохнуть в необычной обстановке.",Very cheap,Very low,High network availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Янтарный карьер,1,8000.0,Калининградская область,summer,25,0,85,"Посетите янтарный карьер, где добывают янтарь, и узнайте больше о процессе добычи и обработки этого уникального камня. Вас ждут экскурсии, возможность увидеть карьер и приобрести изделия из янтаря.",Very cheap,Very low,High network availability,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Кунгурская ледяная пещера,0,11000.0,Пермский край,summer,25,0,70,"Посетите Кунгурскую ледяную пещеру, где вас ждут ледяные сталактиты, сталагмиты и гроты. Вас ждут экскурсии, возможность увидеть уникальные подземные ландшафты и насладиться красотой пещеры.",Very cheap,Very low,High network availability,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Кострома,1,12000.0,Костромская область,summer,30,0,80,"Откройте для себя город на берегу Волги, где вас ждут монастыри, церкви, музеи и возможность познакомиться с историей и культурой Золотого кольца.",Very cheap,Very low,High network availability,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
